Major Category,Type,Minor Category,Problem Code,Count
WATER LEAK,NON EMERGENCY,SLOW LEAK,AT WALL OR CEILING,95577
PLUMBING,EMERGENCY,BATHTUB/SHOWER,BATHTUB IS BROKEN OR DEFECTIVE,3458
GENERAL,IMMEDIATE EMERGENCY,STAIRS,"MULTIPLE CONSECUTIVE TREADS LOOSE, BROKEN, MISSING",3149
PLUMBING,EMERGENCY,BASIN/SINK,BASIN BROKEN/LEAKING,52295
GENERAL,EMERGENCY,CERAMIC-TILE,MISSING FROM FLOOR PUBLIC HALLS- TRIP- HAZARD,243
NONCONST,NON EMERGENCY,CARBON MONOXIDE,NO SIGNAGE/IMPROPER SIGNAGE,1521
APPLIANCE,NON EMERGENCY,REFRIGERATOR,UNIT IS INOPERATIVE/ DEFECTIVE - MEDICAL NECESSITY,29386
PLUMBING,NON EMERGENCY,SEWER,BROKEN OR BLOCKED DRAIN,4792
PLUMBING,EMERGENCY,TOILET,NOT CONNECTED TO WATER SUPPLY OR SEWER DRAIN,8
APPLIANCE,HAZARDOUS,DISHWASHER,BROKEN OR LEAKING,27
NONCONST,EMERGENCY,ILLEGAL,APARTMENT SUBDIVIDED INTO 2 APARTMENTS,507
PAINT/PLASTER,HAZARDOUS,CEILING,PAINT DIRTY AND UNSANITARY,4637
ELECTRIC,NON EMERGENCY,WIRING,INSUFFICIENT NUMBER OF OUTLETS,1443
CONSTRUCTION,HAZARDOUS,ELEVATOR,DIRTY AND UNSANITARY,445
GENERAL,EMERGENCY,DOORS,BROKEN/DEFECTIVE/MISSING,87603
CONSTRUCTION,EMERGENCY,PAVEMENT,OTHER,164
HEATING,EMERGENCY,SPACE HEATER,OTHER,140
APPLIANCE,NON EMERGENCY,REFRIGERATOR,ODOR FROM UNKNOWN CAUSE,1
WATER LEAK,NON EMERGENCY,DAMP SPOT,FROM WALL OR CEILING,29987
PAINT/PLASTER,NON EMERGENCY,CEILING,CHIPPED/PEELING/FLAKING,157547
PAINT/PLASTER,EMERGENCY,CEILING,LARGE HOLE,23145
NONCONST,EMERGENCY,SMOKE DETECTOR,DEFECTIVE,1493
DOOR/WINDOW,NON EMERGENCY,DOOR FRAME,FRAME BROKEN,20553
GENERAL,NON EMERGENCY,BELL/BUZZER/INTERCOM,INACCESSIBLE,4491
PLUMBING,IMMEDIATE EMERGENCY,SPRINKLER,DEFECTIVE,396
GENERAL,EMERGENCY,FIRE-ESCAPE,GOOSE NECK/DROP LADDER DEFECTIVE/MISSING,227
ELECTRIC,NON EMERGENCY,POWER OUTAGE,MULTIPLE ROOMS OR AREAS,6372
GENERAL,IMMEDIATE EMERGENCY,FLOOR,SAGGING OR SLOPING ' DIRE',1137
NONCONST,EMERGENCY,CARBON MONOXIDE,DEFECTIVE,207
HEATING,EMERGENCY,RADIATOR,AIR VALVE MISSING OR STEAM LEAK,667
ELECTRIC,IMMEDIATE EMERGENCY,LIGHTING,NO LIGHTS IN CELLAR / BASEMENT / PUBLIC AREA,3612
GENERAL,IMMEDIATE EMERGENCY,DOORS,"DUMBWAITER DOOR, MISSING / OPEN",842
PLUMBING,NON EMERGENCY,BASIN/SINK,NO WATER,1729
WATER LEAK,EMERGENCY,HEAVY FLOW,FROM WALL OR CEILING,979
PLUMBING,EMERGENCY,BATHTUB/SHOWER,OBSTRUCTED,27940
SAFETY,NON EMERGENCY,OUTLET COVER,MISSING,65
NONCONST,EMERGENCY,ILLEGAL,APARTMENT USED AS ROOMING UNIT,1033
SAFETY,EMERGENCY,SPRINKLER,SPRINKLER PAINTED,158
NONCONST,HAZARDOUS,VERMIN,MICE,26866
GENERAL,NON EMERGENCY,MAILBOX,BOX BROKEN OR MISSING,29228
GENERAL,NON EMERGENCY,VENTILATION SYSTEM,"MECHANICAL NOT WORKING, KITCHEN OR BATHROOM",8635
CONSTRUCTION,EMERGENCY,PAVEMENT,"FRONT ENTRANCEWAY, BROKEN OR CRACKED",1619
CONSTRUCTION,EMERGENCY,RAIN LEADER,PULLING AWAY,24
PAINT/PLASTER,NON EMERGENCY,WALL,BULGING/HOLE/CRACKED,88324
PLUMBING,EMERGENCY,WATER-LEAKS,WATER SUPPLY LINE IS LEAKING/ SHUT OFF VALVE,11592
GENERAL,HAZARDOUS,STAIRS,HANDRAIL MISSING FROM WALL,380
SAFETY,IMMEDIATE EMERGENCY,FIRE ESCAPE,DROP LADDER MISSING OR BROKEN,1069
ELECTRIC,HAZARDOUS,BELL-BUZZER/INTERCOM,NOT ACCESSIBLE TO PUBLIC,1250
PLUMBING,NON EMERGENCY,BATHTUB/SHOWER,FAUCET BROKEN/MISSING/LEAKING,49193
PLUMBING,EMERGENCY,SPRINKLER,SPRINKLERHEADS PAINTED,159
GENERAL,HAZARDOUS,LOCKS,"BUILDING ENTRANCE BROKEN, DEFECTIVE, MISSING",6850
ELECTRIC,NON EMERGENCY,WIRING,FUSES BLOW OUT OFTEN,1790
GENERAL,EMERGENCY,MOLD,OTHER,215
ELECTRIC,EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY TO BASEMENT/ CELLAR,92
NONCONST,EMERGENCY,SMOKE-FUMES,FROM CHIMNEY OF ADJOINING PREMISES,67
APPLIANCE,NON EMERGENCY,ELECTRIC/GAS RANGE,UNIT IS INOPERATIVE,6941
PLUMBING,EMERGENCY,SEWER,BROKEN OR BLOCKED PIPE,6390
ELECTRIC,EMERGENCY,WIRING,EXPOSED,34222
PAINT/PLASTER,HAZARDOUS,CEILING,CRACKED,13205
NONCONST,NON EMERGENCY,STORAGE,"NEWSPAPERS, RAGS, ETC.",63
PLUMBING,NON EMERGENCY,SEWER,ODOR,2799
PLUMBING,NON EMERGENCY,SHOWER-STALL,BROKEN OR DEFECTIVE,9476
APPLIANCE,EMERGENCY,DISHWASHER,ELECTRIC SPARKS FROM OUTLET,4
GENERAL,EMERGENCY,MOLD,MOLD,219593
HEATING,EMERGENCY,HEAT-PLANT,BOILER IS DOWN / NO ELECTRICITY,485
NONCONST,HAZARDOUS,VIBRATIONS,FROM EQUIPMENT IN OTHER APARTMENTS,82
NONCONST,HAZARDOUS,VERMIN,TERMITES,402
GENERAL,NON EMERGENCY,DOORS,"DOOR FRAME, BROKEN OR DEFECTIVE",33121
APPLIANCE,EMERGENCY,REFRIGERATOR,DISCARDED WITH DOOR  INTACT (Inside Bldg.),3007
ELEVATOR,NON EMERGENCY,MAINTENANCE,LIGHT FIXTURE BROKEN,1607
GENERAL,EMERGENCY,STAIRS,"TREAD STEP LOOSE, BROKEN, CRACKED OR MISSING",10807
NONCONST,HAZARDOUS,ILLEGAL,STORE BEING USED FOR RESIDENCE,17
GENERAL,IMMEDIATE EMERGENCY,STAIRS,SAGGING ' DIRE',162
HEATING,EMERGENCY,SPACE HEATER,UNVENTED,7
CONSTRUCTION,EMERGENCY,COLLAPSING BUILDING,OTHER,34
PAINT/PLASTER,EMERGENCY,WALL,HOLE,104852
PLUMBING,EMERGENCY,WATER-LEAKS,OTHER,4047
CONSTRUCTION,HAZARDOUS,PAVEMENT,BASEMENT CELLAR BROKEN OR CRACKED,18
PLUMBING,EMERGENCY,WATER-LEAKS,SPORADIC WHEN FIXTURE USED IN ABOVE APARTMENT,2647
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,PILOT LIGHT OUT,42855
PLUMBING,EMERGENCY,TOILET,BOWL STOPPED UP,41564
PLUMBING,EMERGENCY,TOILET,FLUSH HANDLE BROKEN OR MISSING,9218
DOOR/WINDOW,NON EMERGENCY,DOOR,BROKEN OR MISSING,10
GENERAL,HAZARDOUS,FLOOR,"HOLE, NON-WALKING AREA",3878
PAINT/PLASTER,HAZARDOUS,WALL,SMALL HOLE,4736
OUTSIDE BUILDING,NON EMERGENCY,FENCING,CHAIN LINK BROKEN,1
DOOR/WINDOW,EMERGENCY,DOOR,BROKEN OR MISSING,75934
PLUMBING,IMMEDIATE EMERGENCY,WATER SUPPLY,NO WATER,21212
NONCONST,HAZARDOUS,VERMIN,FLIES,987
NONCONST,NON EMERGENCY,SIGNAGE,FLOOR SIGNS MISSING,222
APPLIANCE,NON EMERGENCY,REFRIGERATOR,MISSING LOOSE HANLDE OR SHELVING,9
PLUMBING,IMMEDIATE EMERGENCY,WATER SUPPLY,NO WATER SUPPLY TO ENTIRE BUILDING ' DIRE ',49649
HEATING,EMERGENCY,HEAT-PLANT,STEAM RISER IS CRACKED/ BROKEN,235
PAINT/PLASTER,EMERGENCY,CEILING,"PLASTER , PEELING AND FALLING",21004
FLOORING/STAIRS,NON EMERGENCY,FLOOR,HOLE IN NON-WALKING AREA,15452
PLUMBING,IMMEDIATE EMERGENCY,WATER SUPPLY,SCALDING HOT WATER,18247
FLOORING/STAIRS,NON EMERGENCY,FLOOR,TILE BROKEN OR MISSING,38064
PLUMBING,EMERGENCY,WATER-LEAKS,CONTINUOUS FROM ABOVE APT,178658
PAINT/PLASTER,EMERGENCY,CEILING,HOLE,85979
DOOR/WINDOW,NON EMERGENCY,WINDOW FRAME,WINDOW STUCK CLOSED OR OPEN,31490
PLUMBING,EMERGENCY,SEWER,RAW SEWAGE ACCUMULATION,16033
PLUMBING,IMMEDIATE EMERGENCY,TOILET,BOWL REMOVED OR MISSING,2935
GENERAL,EMERGENCY,LOCKS,BROKEN/DEFECTIVE/MISSING,33890
CONSTRUCTION,EMERGENCY,ROOF,SKYLIGHT BROKEN / MISSING,2273
GENERAL,EMERGENCY,DOORS,APARTMENT DOOR BROKEN OR DEFECTIVE,27987
GENERAL,EMERGENCY,CABINET,OTHER,1978
CONSTRUCTION,EMERGENCY,ROOF,CHIMNEY BULGING,40
FLOORING/STAIRS,NON EMERGENCY,FLOOR,FLOOR COVERING TORN OR MISSING,14963
GENERAL,EMERGENCY,DOORS,"DUMBWAITER DOOR, NOT SEALED/ MISSING",47
APPLIANCE,EMERGENCY,REFRIGERATOR,UNIT IS INOPERATIVE/ DEFECTIVE - MEDICAL NECESSITY,17925
DOOR/WINDOW,NON EMERGENCY,DOOR,NOT SELF-CLOSING,1660
ELECTRIC,EMERGENCY,ELECTRIC-SUPPLY,OTHER,4545
GENERAL,EMERGENCY,VENTILATION SYSTEM,BROKEN OR MISSING,50
FLOORING/STAIRS,EMERGENCY,STAIRS,STAIR COVERING TORN OR MISSING,585
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,EXTERIOR WALLS TILTING OUT OF PLUMB  'DIRE,3
GENERAL,NON EMERGENCY,CERAMIC-TILE,MISSING FROM FLOOR IN BATHROOM,11941
GENERAL,HAZARDOUS,DOORS,"TO ROOF, BROKEN OR DEFECTIVE",657
PLUMBING,EMERGENCY,RADIATOR,AIR VALVE BROKEN / DEFECTIVE,881
NONCONST,HAZARDOUS,RUBBISH,YARD OR COURT- TO WHAT DEGREE ?,3466
GENERAL,EMERGENCY,WINDOWS,FIRE ESCAPE WINDOW INOPERATIVE/ OBSTRUCTED,12814
PAINT/PLASTER,NON EMERGENCY,WALL,DIRTY OR UNSANITARY,106073
GENERAL,HAZARDOUS,LOCKS,BROKEN/DEFECTIVE/MISSING,1
GENERAL,EMERGENCY,COOKING GAS,OTHER,3169
GENERAL,EMERGENCY,MOLD,MOLD & MILDEW,29912
PAINT/PLASTER,HAZARDOUS,WALL,CRACKED,11822
NONCONST,EMERGENCY,SMOKE DETECTOR,MISSING,4362
CONSTRUCTION,IMMEDIATE EMERGENCY,ROOF,CHIMNEY COLLAPSING  'DIRE',21
NONCONST,EMERGENCY,CARBON MONOXIDE,MISSING,3658
NONCONST,HAZARDOUS,VIBRATIONS,FROM OTHER APPLIANCES,13
PLUMBING,EMERGENCY,TOILET,BOWL CRACKED OR LEAKING,22558
PLUMBING,IMMEDIATE EMERGENCY,SPRINKLER,NO WATER,292
ELECTRIC,NON EMERGENCY,OUTLET/SWITCH,OUTLET SEALED OR DEFECTIVE,46798
ELECTRIC,NON EMERGENCY,LIGHTING,NO LIGHTS AT YARD OR COURT,2765
SAFETY,IMMEDIATE EMERGENCY,FIRE ESCAPE,FALLING OFF WALL,614
ELECTRIC,IMMEDIATE EMERGENCY,ELECTRIC-SUPPLY,NO ELECTRIC SUPPLY/LIGHTS TO PUBLIC AREA 'DIRE',18198
PLUMBING,EMERGENCY,SHOWER-STALL,LEAKING TO FLOOR BELOW,1225
PLUMBING,HAZARDOUS,WATER SUPPLY,LOW WATER PRESSURE,4648
APPLIANCE,NON EMERGENCY,REFRIGERATOR,LEAKING,4441
HEATING,EMERGENCY,SPACE HEATER,SPACE-HEATER PROBLEMS,152
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,GAS SHUT-OFF VALVE LEAKING,18784
ELECTRIC,NON EMERGENCY,LIGHTING,DIMS OR FLICKERS,32484
CONSTRUCTION,IMMEDIATE EMERGENCY,ROOF,"DOOR OR SCUTTLE HATCH PADLOCKED, NAILED OR INOPERABLE",652
PLUMBING,IMMEDIATE EMERGENCY,SPRINKLER,SPRINKLERHEADS MISSING,87
PLUMBING,EMERGENCY,RADIATOR,CRACKED OR LEAKING,41466
PLUMBING,EMERGENCY,SEWER,OBSTRUCTED DRAIN,484
PLUMBING,EMERGENCY,BOILER,BROKEN,1904
OUTSIDE BUILDING,EMERGENCY,ROOF DOOR/HATCH,BROKEN OR MISSING,1308
GENERAL,IMMEDIATE EMERGENCY,STAIRS,INTERMEDIATE LANDING-PLATFORM MISSING,327
APPLIANCE,EMERGENCY,ELECTRIC/GAS RANGE,NO GAS,280
PLUMBING,EMERGENCY,TOILET,NO WATER,2310
GENERAL,EMERGENCY,FLOOR,COLLAPSING,1516
PAINT/PLASTER,EMERGENCY,CEILING,BULGING / LOOSE,38003
ELECTRIC,EMERGENCY,WIRING,EXPOSED AT SWITCH / WALL OUTLET,4628
HEAT/HOT WATER,EMERGENCY,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,241315
APPLIANCE,HAZARDOUS,AIR-CONDITIONER,UNIT LOOSE IN WALL FRAME,15
ELECTRIC,NON EMERGENCY,OUTLET/SWITCH,MISSING COVER PLATE,140
ELECTRIC,EMERGENCY,LIGHTING,SMOKING OR SPARKING,17
GENERAL,NON EMERGENCY,SIGNAGE MISSING,HOUSING INFORMATION NOTICE,1743
PLUMBING,NON EMERGENCY,BASIN/SINK,BASIN CHIPPED OR RUSTED,11776
NONCONST,EMERGENCY,VERMIN,RATS,64528
ELECTRIC,EMERGENCY,LIGHTING,FIXTURE WET OR FLOODED,32150
APPLIANCE,NON EMERGENCY,REFRIGERATOR,DISCARDED WITH DOOR INTACT,194
WATER LEAK,IMMEDIATE EMERGENCY,HEAVY FLOW,AFFECTING STRUCTURAL STABILITY,7
ELECTRIC,NON EMERGENCY,ELECTRIC-SUPPLY,NO SUPPLY TO SOME ROOMS,36205
APPLIANCE,EMERGENCY,REFRIGERATOR,ELECTRIC SPARKS FROM OUTLET,39
APPLIANCE,EMERGENCY,REFRIGERATOR,UNIT IS INOPERATIVE - INSULIN USER,373
APPLIANCE,NON EMERGENCY,REFRIGERATOR,LEAKING UNDER UNIT,1
HEATING,EMERGENCY,HEAT-PLANT,BOILER SMOKING/ EMITTING FUMES,700
PAINT/PLASTER,EMERGENCY,WINDOW/FRAME,PEELING PAINT,1400
DOOR/WINDOW,EMERGENCY,WINDOW FRAME,LOOSE OR DEFECTIVE,56824
NONCONST,HAZARDOUS,JANITOR/SUPER,DOES NOT LIVE WITHIN ONE BLOCK,854
GENERAL,EMERGENCY,WINDOWS,OTHER,10539
PLUMBING,EMERGENCY,RADIATOR,OTHER,1761
CONSTRUCTION,EMERGENCY,PAVEMENT,"COURT YARDS, BROKEN OR CRACKED",70
ELECTRIC,EMERGENCY,LIGHTING,OTHER,4561
NONCONST,HAZARDOUS,VIBRATIONS,FROM UNKNOWN SOURCES,134
PLUMBING,EMERGENCY,WATER-LEAKS,STEAM RISER LEAKING,364
PLUMBING,EMERGENCY,TOILET,BOWL FLUSHOMETER (HANDLE) IS BROKEN / MISSING,13849
GENERAL,IMMEDIATE EMERGENCY,COOKING GAS,LEAKING ' DIRE' INFORM COMPLAINANT TO CALL UTILITY CO.,265
UNSANITARY CONDITION,NON EMERGENCY,PESTS,FLEAS,1424
APPLIANCE,NON EMERGENCY,AIR-CONDITIONER,UNIT IS DEFECTIVE,115
UNSANITARY CONDITION,NON EMERGENCY,GARBAGE/RECYCLING STORAGE,ACCUMULATION,65129
HEATING,EMERGENCY,HEAT-PLANT,OTHER,1310
NONCONST,EMERGENCY,CARBON MONOXIDE,DEFECTIVE / MISSING,31779
PAINT/PLASTER,EMERGENCY,RADIATOR,PEELING/FLAKING PAINT,402
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,BULGING EXTERIOR WALLS  'DIRE,3
NONCONST,IMMEDIATE EMERGENCY,SMOKE-FUMES,FROM SOOT-  ' DIRE',131
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,"BROWNSTONE WALL CHIPPING, PIECES FALLING 'DIRE'",6
ELECTRIC,HAZARDOUS,LIGHTING,NO LIGHTS AT FRONT OF BUILDING,1895
GENERAL,HAZARDOUS,DOORS,"APARTMENT ENTRANCE, KEY JAMMED IN LOCK",1139
PLUMBING,EMERGENCY,WATER-LEAKS,CASCADING FROM CEILING / WALL,55191
GENERAL,NON EMERGENCY,DOORS,"COURTYARD, BROKEN OR  DEFECTIVE",917
NONCONST,NON EMERGENCY,VERMIN,RATS,16733
PLUMBING,EMERGENCY,BATHTUB/SHOWER,OTHER,4003
ELECTRIC,IMMEDIATE EMERGENCY,POWER OUTAGE,ENTIRE APARTMENT,15695
GENERAL,EMERGENCY,FIRE-ESCAPE,REMOVED,58
HEATING,HAZARDOUS,RADIATOR,EMITTING ODORS WHEN HEAT IS ON,110
SAFETY,NON EMERGENCY,FIRE ESCAPE,RUSTED OR PEELING,1236
GENERAL,HAZARDOUS,CERAMIC-TILE,MISSING FROM FLOOR IN BATHROOM-TRIP HAZARD,2755
UNSANITARY CONDITION,EMERGENCY,PESTS,BED BUGS,44568
OUTSIDE BUILDING,EMERGENCY,ROOF DOOR/HATCH,NOT SELF-CLOSING,1047
PLUMBING,NON EMERGENCY,BASIN/SINK,CRACKED,1171
PAINT/PLASTER,NON EMERGENCY,CEILING,HOLE OR CRACKED,66365
OUTSIDE BUILDING,EMERGENCY,ROOF DOOR/HATCH,LEAKING,192
NONCONST,EMERGENCY,RUBBISH,OTHER,4241
HEATING,EMERGENCY,HEAT-PLANT,NO OIL TO BURNER,366
HEAT/HOT WATER,IMMEDIATE EMERGENCY,APARTMENT ONLY,HEAT ON IN SUMMER,4953
PAINT/PLASTER,HAZARDOUS,CEILING,SMALL HOLE,2568
NONCONST,EMERGENCY,ODOR,OTHER,5056
PLUMBING,EMERGENCY,TOILET,DISCONNECTED,1572
PAINT/PLASTER,NON EMERGENCY,RADIATOR,PEELING OR FLAKING PAINT,13556
HEAT/HOT WATER,EMERGENCY,ENTIRE BUILDING,NO HOT WATER,127477
PLUMBING,EMERGENCY,RADIATOR,SHUT OFF VALVE BROKEN,4892
GENERAL,HAZARDOUS,CERAMIC-TILE,MISSING FROM FLOOR IN PUBLIC HALLS-NON-TRIP-HAZARD,163
ELECTRIC,NON EMERGENCY,BELL-BUZZER/INTERCOM,NOT ACCESSIBLE TO PUBLIC,5649
APPLIANCE,HAZARDOUS,REFRIGERATOR,UNIT IS INOPERATIVE,4181
GENERAL,EMERGENCY,LOCKS,"BUILDING ENTRANCE,DOUBLE CYLINDER LOCK-VIOLATION",4402
HEATING,EMERGENCY,HEAT-PLANT,BROKEN HEAT PIPING,174
PLUMBING,NON EMERGENCY,BASIN/SINK,CONTINUOUS LEAKING,26511
ELECTRIC,HAZARDOUS,WIRING,OUTLETS SEALED OR JAMMED BY PAINT,263
UNSANITARY CONDITION,NON EMERGENCY,PESTS,TERMITES,1506
PAINT/PLASTER,NON EMERGENCY,WALL,CHIPPED/PEELING/FLAKING,218144
APPLIANCE,EMERGENCY,REFRIGERATOR,BROKEN OR MISSING,1072
ELECTRIC,EMERGENCY,WIRING,EXPOSED AT BASEMENT/ CELLAR / PUBLIC AREA,295
PLUMBING,EMERGENCY,SHOWER-STALL,LEAKING AT SUPPLY CONNECTION,1782
HEATING,EMERGENCY,RADIATOR,RADIATOR INOPERATIVE,6554
CONSTRUCTION,NON EMERGENCY,RAIN LEADER,"OBSTRUCTED, DEFECTIVE OR MISSING",470
OUTSIDE BUILDING,EMERGENCY,PORCH/BALCONY,BROKEN OR MISSING RAILING,692
GENERAL,EMERGENCY,STAIRS,OTHER,848
PLUMBING,NON EMERGENCY,WATER SUPPLY,NO COLD WATER,4833
HEATING,EMERGENCY,SPACE HEATER,INOPERATIVE DURING HEAT SEASON,24
GENERAL,EMERGENCY,FLOOR,OTHER,5594
ELECTRIC,HAZARDOUS,LIGHTING,FIXTURE MISSING IN PUBLIC HALLS,378
GENERAL,EMERGENCY,WINDOWS,BROKEN FRAME LOOSE OR HANGING,5971
NONCONST,NON EMERGENCY,SIGNAGE,HOUSE NUMBER (EXTERNAL) MISSING,159
PAINT/PLASTER,IMMEDIATE EMERGENCY,CEILING,COLLAPSING 'DIRE',10692
ELECTRIC,NON EMERGENCY,NO LIGHTING,ONE ROOM OR AREA,6656
ELECTRIC,EMERGENCY,BELL-BUZZER/INTERCOM,NOT ACCESSIBLE TO PUBLIC,3024
GENERAL,EMERGENCY,WINDOWS,GLASS PANE MISSING,1167
HEATING,EMERGENCY,HEAT-PLANT,"BURNER IS INOPERATIVE, MISSING OR DEFECTIVE",299
NONCONST,HAZARDOUS,VIBRATIONS,FROM BOILER,119
NONCONST,IMMEDIATE EMERGENCY,SMOKE-FUMES,FROM HEATING PLANT - SOOT,310
GENERAL,HAZARDOUS,FLOOR,HOLE AT RADIATOR PIPE,2176
NONCONST,HAZARDOUS,RUBBISH,ROOF,131
HEATING,EMERGENCY,HEAT RELATED,NO HEAT,1401261
PLUMBING,EMERGENCY,BASIN/SINK,SINK DETACHED FROM WALL,23848
GENERAL,NON EMERGENCY,FLOOR,"FLOOR COVERING TORN, DEFECTIVE, MISSING",84337
GENERAL,HAZARDOUS,STAIRS,BROKEN,1126
HEATING,EMERGENCY,RADIATOR,RADIATOR CRACKED/ MISSING,1353
GENERAL,HAZARDOUS,FLOOR,APPLIANCE OR FURNITURE ENCUMBRANCE,317
APPLIANCE,NON EMERGENCY,AIR-CONDITIONER,UNIT LOOSE IN WALL FRAME,942
HEAT/HOT WATER,EMERGENCY,APARTMENT ONLY,NO HEAT,296839
NONCONST,NON EMERGENCY,JANITOR/SUPER,NO SIGNAGE INDICATING EMERGENCY CONTACT INFO,4680
NONCONST,HAZARDOUS,RUBBISH,ACCUMULATION CELLAR- HEAVY,2425
PLUMBING,HAZARDOUS,BASIN/SINK,PORCELAIN IS CHIPPING OR METAL ERODING,1222
APPLIANCE,EMERGENCY,REFRIGERATOR,OTHER,1574
PLUMBING,EMERGENCY,BASIN/SINK,OTHER,3353
GENERAL,EMERGENCY,DOORS,"BOILER ROOM, BROKEN OR DEFECTIVE OR MISSING",323
PLUMBING,EMERGENCY,SEWER,OBSTRUCTED SEWER PIPE,757
PLUMBING,EMERGENCY,RADIATOR,BROKEN OR MISSING,18875
NONCONST,HAZARDOUS,JANITOR/SUPER,NONE AVAILABLE,8077
FLOORING/STAIRS,IMMEDIATE EMERGENCY,STAIRS,LANDING PLATFORM MISSING,55
PLUMBING,EMERGENCY,TOILET,BOWL LOOSE OR WOBBLY,18001
HEATING,EMERGENCY,SPACE HEATER,"GASOLINE, PROPANE OR KEROSENE FUEL USED",4
NONCONST,EMERGENCY,VERMIN,OTHER,5029
PLUMBING,IMMEDIATE EMERGENCY,SPRINKLER,SPRINKLER SYSTEM MISSING,347
NONCONST,NON EMERGENCY,ODOR,FROM DRY-CLEANING STORE,10
PLUMBING,EMERGENCY,WATER-LEAKS,CONTINUOUS FROM BROKEN PIPE ABOVE APARTMENT,4189
PAINT/PLASTER,EMERGENCY,DOOR/FRAME,PEELING PAINT,1202
NONCONST,HAZARDOUS,ODOR,FROM CELLAR,780
